Parcel,Mean Value
17Networks_RH_SomMotA_8,2.0
17Networks_RH_SomMotA_9,2.1363636363636362
17Networks_RH_SomMotA_10,2.0
17Networks_RH_SomMotA_11,2.0
17Networks_RH_SomMotA_12,2.2549019607843137
17Networks_RH_SomMotA_13,2.0
17Networks_RH_SomMotA_14,2.0
17Networks_RH_SomMotA_15,2.0
17Networks_RH_SomMotA_16,2.0
17Networks_RH_SomMotA_17,2.5517241379310347
17Networks_RH_SomMotA_18,2.0
17Networks_RH_SomMotA_19,2.0
17Networks_RH_SomMotA_20,2.0
17Networks_RH_SomMotB_Aud_1,2.262295081967213
17Networks_RH_SomMotB_Aud_2,2.0
17Networks_RH_SomMotB_Ins_1,2.090909090909091
17Networks_RH_SomMotB_S2_1,2.0
17Networks_RH_SomMotB_S2_2,2.0
17Networks_RH_SomMotB_Aud_3,2.0
17Networks_RH_SomMotB_S2_3,2.0
17Networks_RH_SomMotB_S2_4,2.0
17Networks_RH_SomMotB_S2_5,2.0
17Networks_RH_SomMotB_S2_6,2.7755102040816326
17Networks_RH_SomMotB_S2_7,2.0
17Networks_RH_SomMotB_S2_8,2.1142857142857143
17Networks_RH_SomMotB_Cent_1,2.55
17Networks_RH_SomMotB_Cent_2,2.0
17Networks_RH_SomMotB_Cent_3,2.0
17Networks_RH_DorsAttnA_TempOcc_1,1.4878048780487805
17Networks_RH_DorsAttnA_TempOcc_2,2.4878048780487805
17Networks_RH_DorsAttnA_TempOcc_3,1.88135593220339
17Networks_RH_DorsAttnA_ParOcc_1,1.5142857142857142
17Networks_RH_DorsAttnA_ParOcc_2,3.9791666666666665
17Networks_RH_DorsAttnA_ParOcc_3,1.2
17Networks_RH_DorsAttnA_SPL_1,1.2962962962962963
17Networks_RH_DorsAttnA_SPL_2,2.9444444444444446
17Networks_RH_DorsAttnA_SPL_3,2.0
17Networks_RH_DorsAttnA_SPL_4,3.0
17Networks_RH_DorsAttnA_SPL_5,3.0
17Networks_RH_DorsAttnA_SPL_6,3.0
17Networks_RH_DorsAttnA_SPL_7,2.849056603773585
17Networks_RH_DorsAttnA_SPL_8,3.0
17Networks_RH_DorsAttnB_TempOcc_1,3.4594594594594597
17Networks_RH_DorsAttnB_PostC_1,2.8653846153846154
17Networks_RH_DorsAttnB_PostC_2,3.0
17Networks_RH_DorsAttnB_PostC_3,3.09375
17Networks_RH_DorsAttnB_PostC_4,2.8260869565217392
17Networks_RH_DorsAttnB_PostC_5,2.7903225806451615
17Networks_RH_DorsAttnB_PostC_6,3.0833333333333335
17Networks_RH_DorsAttnB_PostC_7,2.7454545454545456
17Networks_RH_DorsAttnB_PostC_8,2.4390243902439024
17Networks_RH_DorsAttnB_FEF_1,3.1551724137931036
17Networks_RH_DorsAttnB_FEF_2,3.0
17Networks_RH_DorsAttnB_FEF_3,3.0689655172413794
17Networks_RH_SalVentAttnA_ParOper_1,3.5211267605633805
17Networks_RH_SalVentAttnA_ParOper_2,4.0
17Networks_RH_SalVentAttnA_ParOper_3,3.9298245614035086
17Networks_RH_SalVentAttnA_PrC_1,3.883720930232558
17Networks_RH_SalVentAttnA_Ins_1,4.092307692307692
17Networks_RH_SalVentAttnA_Ins_2,4.0
17Networks_RH_SalVentAttnA_Ins_3,4.0
17Networks_RH_SalVentAttnA_Ins_4,3.3548387096774195
17Networks_RH_SalVentAttnA_FrOper_1,3.727272727272727
17Networks_RH_SalVentAttnA_FrOper_2,3.7872340425531914
17Networks_RH_SalVentAttnA_FrOper_3,4.2444444444444445
17Networks_RH_SalVentAttnA_FrMed_1,3.1636363636363636
17Networks_RH_SalVentAttnA_ParMed_1,2.810810810810811
17Networks_RH_SalVentAttnA_ParMed_2,4.166666666666667
17Networks_RH_SalVentAttnA_FrMed_2,4.0606060606060606
17Networks_RH_SalVentAttnA_ParMed_3,3.630434782608696
17Networks_RH_SalVentAttnA_ParMed_4,3.1627906976744184
17Networks_RH_SalVentAttnA_FrMed_3,3.3333333333333335
