,bids_name,aor,aqi,dummy_trs,dvars_nstd,dvars_std,dvars_vstd,efc,fber,fd_mean,fd_num,fd_perc,fwhm_avg,fwhm_x,fwhm_y,fwhm_z,gcor,gsr_x,gsr_y,size_t,size_x,size_y,size_z,snr,spacing_tr,spacing_x,spacing_y,spacing_z,summary_bg_k,summary_bg_mad,summary_bg_mean,summary_bg_median,summary_bg_n,summary_bg_p05,summary_bg_p95,summary_bg_stdv,summary_fg_k,summary_fg_mad,summary_fg_mean,summary_fg_median,summary_fg_n,summary_fg_p05,summary_fg_p95,summary_fg_stdv,tsnr,sub,ses,task,run
329,sub-CBPD0169_ses-02_task-rest_run-01_bold,0.007615260115606936,0.005942291156069365,0,42.55102592313951,1.1980043301162795,1.1444005457558133,0.5521709213355387,650.8539428710938,0.2727497101187903,11,6.3583815028901745,3.5242766666666667,3.240925,3.940515,3.3913900000000003,0.00614381,-0.02575226314365864,0.0727618858218193,173,96,96,75,1.8909849849872888,2.0,2.0,2.0,2.0,27.54888682865709,90.06946563720703,513.1971435546875,267.40176391601557,385669.0,189.79051513671874,1799.207666015624,720.6475830078125,0.8553834036624557,3722.913330078125,8231.0048828125,7419.58935546875,206171.0,3321.98828125,15674.4951171875,3923.654296875,38.90282440185547,CBPD0169,2,rest,1
330,sub-CBPD0169_ses-02_task-rest_run-02_bold,0.010108294117647059,0.006083758823529411,8,45.35332270082842,1.3291295923668642,1.0682264983431948,0.5533623436248953,657.4873657226562,0.2804277082795398,8,4.705882352941177,3.468441666666666,3.193105,3.87808,3.33414,0.0620918,-0.026808373630046844,0.07529149949550629,170,96,96,75,1.9183728648044995,2.0,2.0,2.0,2.0,31.760608881766963,89.00264739990234,521.0431518554689,267.80877685546875,386286.0,191.48555755615237,1829.552734375,754.8283081054688,0.931071433424488,3704.7275390625,8307.970703125,7504.7978515625,205123.0,3422.6336669921875,15712.340820312498,3912.0546875,38.069637298583984,CBPD0169,2,rest,2
331,sub-CBPD0170_ses-01_task-rest_run-01_bold,0.005834786729857821,0.01300793672985782,0,61.53902820380953,1.2099466692857144,0.9948957541904764,0.5292721754211532,656.39501953125,0.5455387911337753,28,13.270142180094789,3.341093195860005,3.000055,3.563595,3.459629587580015,0.0133275,-0.008872179314494133,0.045605529099702835,211,96,96,75,2.3384230411113,2.0,2.0,2.0,2.000000238418579,31.97327075097777,60.79372787475586,375.8924865722656,223.39337158203125,424497.0,169.459716796875,1162.5033935546876,492.328369140625,0.9870722485097184,2266.885009765625,6514.509765625,6080.37939453125,172481.0,3125.9384765625,11632.3466796875,2600.197509765625,28.561382293701172,CBPD0170,1,rest,1
332,sub-CBPD0170_ses-01_task-rest_run-02_bold,0.00347325,0.0074979024166666654,0,48.742977142184884,1.273187230672269,1.001803868655463,0.5298146204631857,678.7798461914062,0.19645013172892375,0,0.0,3.2621215330336653,2.9354,3.4879800000000003,3.3629845991009955,0.0137132,-0.010876643471419813,0.045632313936948776,120,96,96,75,2.349404454747734,2.0,2.0,2.0,2.000000238418579,31.876784273922247,54.213844299316406,381.6148986816406,221.05001831054688,425215.0,172.58334350585938,1206.373413085937,513.8252563476561,0.8907445538729082,2310.58642578125,6585.0771484375,6146.51708984375,171797.0,3162.380126953125,11717.292187499996,2616.194580078125,39.46403121948242,CBPD0170,1,rest,2
333,sub-CBPD0171_ses-01_task-rest_run-01_bold,0.00682875,0.022825390958333337,0,67.57170548702926,1.1281417843933057,0.987024409205021,0.5455694625773724,554.9252319335939,0.6762843532699833,51,21.25,3.2473099999999997,2.79373,3.67599,3.27221,0.0143457,-0.004825535695999861,0.05570787936449051,240,96,96,75,2.751574605617784,2.0,2.0,2.0,2.0,26.234604143293843,57.3952522277832,376.4942932128906,219.6333465576172,429375.0,162.25418090820312,1200.0013671875,447.271240234375,0.5680571081446262,1807.755859375,5704.7919921875,5442.5068359375,167898.0,2911.5974975585937,9387.598925781247,1977.9549560546875,22.410797119140625,CBPD0171,1,rest,1
334,sub-CBPD0171_ses-01_task-rest_run-02_bold,0.0060451666666666674,0.008197913499999999,0,44.48249926779663,1.1161063550847456,1.0104903386440676,0.5448417327404045,569.1740112304688,0.24929807966914955,2,3.333333333333333,3.0839983333333336,2.6848,3.4312400000000003,3.135955,0.00692576,-0.006475100293755531,0.0499303862452507,60,96,96,75,2.7554852441613447,2.0,2.0,2.0,2.0,26.47453177145339,53.59606170654297,381.3430480957031,217.3500061035156,431504.0,168.56668090820312,1257.9901062011702,471.6025085449219,0.7384021439682695,1793.6273193359375,5730.65478515625,5461.43359375,166195.0,2977.288525390625,9444.425585937497,1982.0164794921875,37.689064025878906,CBPD0171,1,rest,2
335,sub-CBPD0172_ses-01_task-rest_run-01_bold,0.004045443037974684,0.008666497784810127,0,36.64479877668792,1.142492918471338,0.9971865870700636,0.5418447227912089,524.1904296875,0.1964701920184478,2,1.2658227848101269,3.269016666666667,2.98675,3.6444400000000003,3.1758599999999997,0.0226239,-0.006258051376789807,0.07813284546136856,158,96,96,75,2.2603510643021965,2.0,2.0,2.0,2.0,16.796781739729497,93.07553100585938,589.7288818359375,259.50634765625,441985.0,182.72152709960938,2336.9089355468727,861.5615234375,0.14025846709057976,2760.87744140625,6884.0908203125,6393.25,157520.0,3058.3224487304688,12133.622363281247,2828.42333984375,37.07956314086914,CBPD0172,1,rest,1
336,sub-CBPD0172_ses-01_task-rest_run-02_bold,0.0030151875,0.00865593875,0,37.56529539352199,1.1267411143396229,0.9967986047169812,0.5427580431735988,522.9337768554689,0.2041705345378,1,0.625,3.277198333333333,2.991485,3.6519,3.1882099999999998,0.0231849,-0.006481953430920839,0.08126925677061081,160,96,96,75,2.261337934911434,2.0,2.0,2.0,2.0,17.41239282632431,93.5058822631836,596.6309814453125,260.32501220703125,441288.0,182.9562530517578,2367.8187499999913,880.0702514648438,0.14816456411362022,2764.071533203125,6899.080078125,6405.5625,158107.0,3073.83125,12156.487988281246,2832.6337890625,37.34172821044922,CBPD0172,1,rest,2
337,sub-CBPD0173_ses-01_task-rest_run-01_bold,0.02660435185185185,0.028085787222222217,0,62.9139650563256,1.175847185255814,1.1247417469302328,0.5355385753245461,500.4139099121094,0.9714088674955029,34,15.74074074074074,3.4386717360328682,3.10017,3.72453,3.491315208098603,0.017509599999999997,-0.0077534159645438186,0.06733869761228561,216,96,96,75,2.3027267894632417,2.0,2.0,2.0,1.9999998807907104,27.76356009861424,86.6326904296875,446.8239440917969,238.9606475830078,437772.0,161.89352416992188,1477.3116394042938,609.100830078125,0.9196660582761944,2179.7685546875,6108.72119140625,5672.5185546875,161275.0,2922.325903320313,10956.002636718747,2463.38427734375,18.117555618286133,CBPD0173,1,rest,1
338,sub-CBPD0173_ses-01_task-rest_run-02_bold,0.0026304145077720212,0.019007895336787563,0,46.01884091874999,1.06077958296875,0.9413855993749995,0.5346607219986125,494.9052429199219,0.4153234445958605,13,6.735751295336788,3.4206867361938005,3.096075,3.6665699999999997,3.4994152085814005,0.022181599999999996,-0.007835909724235535,0.08276654034852983,193,96,96,75,2.240842482868168,2.0,2.0,2.0,1.9999998807907104,31.079731145303725,87.25077056884766,449.3962097167969,240.2642364501953,435062.0,136.6432640075684,1481.397839355463,637.1448364257812,1.0082297062976746,2227.705322265625,6121.2646484375,5668.6474609375,163487.0,2869.7226318359376,11087.683984374995,2529.68701171875,24.2304801940918,CBPD0173,1,rest,2
339,sub-CBPD0174_ses-01_task-rest_run-01_bold,0.0033587878787878786,0.0073365783838383845,0,42.62514754724491,1.2601557021428578,1.011081266530612,0.4889924752684304,692.3115844726562,0.13062126925842873,1,1.0101010101010102,3.3888366666666663,3.1754599999999997,3.464605,3.526445,0.013876699999999999,-0.006771070882678032,0.04371239617466927,99,96,96,75,2.0499021240796536,2.0,2.0,2.0,2.0,38.380053587913814,45.73602676391602,317.128173828125,206.78787231445312,450996.0,168.22222900390625,869.2600860595703,361.4564514160156,3.531742048880287,1983.1231689453125,6505.310546875,5749.818359375,150797.0,3546.11923828125,12125.022070312496,2804.9140625,44.21619033813477,CBPD0174,1,rest,1
340,sub-CBPD0175_ses-01_task-rest_run-01_bold,0.001505897435897436,0.007250983205128204,8,42.259751153612925,1.2649162441935484,0.9677240582580648,0.4899138325207562,766.5977172851562,0.1385308300328455,0,0.0,3.2304033333333333,3.01716,3.399485,3.274565,0.00840351,-0.01645062491297722,0.05658926442265511,156,96,96,75,2.1757519285329314,2.0,2.0,2.0,2.0,36.189492109376275,54.02944564819336,372.2062683105469,218.1794891357422,458032.0,171.09616088867188,1112.3035461425773,476.5300598144531,1.9439678256381905,2344.61669921875,7131.48388671875,6397.2724609375,144718.0,3802.4512329101562,13039.695703124995,2940.248046875,43.0219955444336,CBPD0175,1,rest,1
341,sub-CBPD0175_ses-01_task-rest_run-02_bold,0.014019261363636364,0.00981832056818182,0,48.82587242154286,1.3506601707428572,1.0828557296571428,0.4913877245811753,758.2113037109375,0.23691586797629985,5,2.8409090909090913,3.254758333333333,3.042745,3.4350699999999996,3.28646,0.0114618,-0.01610075868666172,0.057009480893611915,176,96,96,75,2.172660682205588,2.0,2.0,2.0,2.0,33.19199717773441,54.27503967285156,374.2649230957031,218.85227966308597,457191.0,172.2841033935547,1128.6278686523438,475.6898193359375,1.9563310985817264,2335.595947265625,7113.15869140625,6383.59130859375,145381.0,3785.943359375,13018.2158203125,2938.134521484375,36.12052917480469,CBPD0175,1,rest,2
